,Name,Matlabel,Fish,Time,Date_cam
89,180710_121309,0,0,11:13:20,180710_1
90,180710_121316,0,0,11:13:27,180710_1
91,180710_121325,0,0,11:13:36,180710_1
92,180710_121331,0,0,11:13:42,180710_1
93,180710_121337,0,0,11:13:48,180710_1
94,180710_121345,0,0,11:13:56,180710_1
95,180710_121351,1,1,11:14:02,180710_1
96,180710_121401,1,0,11:14:12,180710_1
97,180710_121409,1,2,11:14:20,180710_1
98,180710_121415,1,5,11:14:25,180710_1
99,180710_121453,1,4,11:14:31,180710_1
100,180710_121458,0,0,11:15:03,180710_1
101,180710_121505,0,0,11:15:15,180710_1
102,180710_121511,0,0,11:15:21,180710_1
103,180710_121517,0,0,11:15:27,180710_1
104,180710_122503,0,0,11:25:13,180710_1
105,180710_122508,0,0,11:25:18,180710_1
106,180710_122517,0,0,11:25:28,180710_1
107,180710_122523,0,0,11:25:33,180710_1
108,180710_122528,0,0,11:25:39,180710_1
109,180710_122534,0,0,11:25:45,180710_1
110,180710_122540,0,0,11:25:51,180710_1
111,180710_122548,0,0,11:25:59,180710_1
112,180710_122554,0,0,11:26:05,180710_1
113,180710_122602,0,0,11:26:12,180710_1
114,180710_122608,0,0,11:26:19,180710_1
115,180710_122616,0,0,11:26:27,180710_1
116,180710_122656,0,0,11:27:06,180710_1
117,180710_122702,0,0,11:27:13,180710_1
118,180710_122712,0,0,11:27:23,180710_1
119,180710_123702,0,0,11:37:13,180710_1
120,180710_123708,1,1,11:37:18,180710_1
121,180710_123713,0,0,11:37:24,180710_1
122,180710_123721,0,0,11:37:32,180710_1
123,180710_123726,0,0,11:37:37,180710_1
124,180710_123732,0,0,11:37:43,180710_1
125,180710_123739,0,0,11:37:50,180710_1
126,180710_123745,0,0,11:37:55,180710_1
127,180710_123750,0,0,11:38:01,180710_1
128,180710_123758,0,0,11:38:09,180710_1
129,180710_123807,0,0,11:38:18,180710_1
130,180710_123813,1,1,11:38:23,180710_1
131,180710_123852,0,0,11:39:02,180710_1
132,180710_123858,0,0,11:39:09,180710_1
133,180710_123908,0,0,11:39:18,180710_1
134,180710_123913,0,0,11:39:24,180710_1
135,180710_123920,1,2,11:39:31,180710_1
136,180710_123928,1,18,11:39:38,180710_1
137,180710_123935,1,1,11:39:45,180710_1
138,180710_123940,1,1,11:39:51,180710_1
139,180710_123946,0,0,11:39:56,180710_1
140,180710_123951,0,0,11:40:02,180710_1
141,180710_123957,1,9,11:40:08,180710_1
142,180710_124003,1,13,11:40:13,180710_1
143,180710_124902,0,0,11:49:13,180710_1
144,180710_124908,0,0,11:49:18,180710_1
145,180710_124913,0,0,11:49:24,180710_1
146,180710_124919,0,0,11:49:29,180710_1
147,180710_124926,0,0,11:49:37,180710_1
148,180710_124932,0,0,11:49:43,180710_1
149,180710_124938,0,0,11:49:49,180710_1
150,180710_124944,1,13,11:49:54,180710_1
151,180710_124954,0,0,11:50:04,180710_1
152,180710_125000,0,0,11:50:10,180710_1
153,180710_125005,0,0,11:50:16,180710_1
154,180710_125011,0,0,11:50:22,180710_1
155,180710_125050,0,0,11:51:01,180710_1
156,180710_125057,0,0,11:51:08,180710_1
157,180710_125103,0,0,11:51:13,180710_1
158,180710_125111,0,0,11:51:21,180710_1
159,180710_125117,0,0,11:51:27,180710_1
160,180710_125122,1,1,11:51:33,180710_1
161,180710_125128,1,1,11:51:39,180710_1
162,180710_125134,0,0,11:51:44,180710_1
163,180710_125139,0,0,11:51:50,180710_1
164,180710_125145,0,0,11:51:56,180710_1
165,180710_125156,0,0,11:52:07,180710_1
166,180710_125203,0,0,11:52:13,180710_1
167,180710_130102,0,0,12:01:13,180710_1
168,180710_130109,0,0,12:01:19,180710_1
169,180710_130115,0,0,12:01:25,180710_1
170,180710_130121,0,0,12:01:31,180710_1
171,180710_130126,0,0,12:01:37,180710_1
172,180710_130132,1,2,12:01:42,180710_1
173,180710_130141,0,0,12:01:51,180710_1
174,180710_130146,0,0,12:01:57,180710_1
175,180710_130155,1,5,12:02:05,180710_1
176,180710_130201,0,0,12:02:11,180710_1
177,180710_130206,0,0,12:02:17,180710_1
178,180710_130212,1,2,12:02:23,180710_1
179,180710_130252,0,0,12:03:02,180710_1
180,180710_130257,0,0,12:03:08,180710_1
181,180710_130304,0,0,12:03:14,180710_1
182,180710_130312,0,0,12:03:23,180710_1
183,180710_130321,0,0,12:03:32,180710_1
184,180710_130327,0,0,12:03:38,180710_1
185,180710_130333,0,0,12:03:43,180710_1
186,180710_130339,0,0,12:03:50,180710_1
187,180710_130351,1,2,12:04:01,180710_1
188,180710_130357,1,1,12:04:08,180710_1
189,180710_130403,1,1,12:04:14,180710_1
190,180710_131302,0,0,12:13:12,180710_1
191,180710_131308,0,0,12:13:19,180710_1
192,180710_131315,1,2,12:13:26,180710_1
193,180710_131320,1,1,12:13:31,180710_1
194,180710_131327,0,0,12:13:38,180710_1
195,180710_131333,0,0,12:13:44,180710_1
196,180710_131339,0,0,12:13:49,180710_1
197,180710_131344,1,2,12:13:55,180710_1
198,180710_131351,0,0,12:14:01,180710_1
199,180710_131358,0,0,12:14:08,180710_1
200,180710_131405,0,0,12:14:16,180710_1
201,180710_131413,0,0,12:14:23,180710_1
202,180710_131456,0,0,12:15:07,180710_1
203,180710_131502,0,0,12:15:13,180710_1
204,180710_131510,0,0,12:15:21,180710_1
205,180710_131516,0,0,12:15:27,180710_1
206,180710_131524,0,0,12:15:35,180710_1
207,180710_131533,0,0,12:15:43,180710_1
208,180710_131539,0,0,12:15:49,180710_1
209,180710_131545,0,0,12:15:55,180710_1
210,180710_131550,0,0,12:16:01,180710_1
211,180710_131556,0,0,12:16:07,180710_1
212,180710_131602,1,3,12:16:12,180710_1
213,180710_131608,1,2,12:16:18,180710_1
214,180710_132502,0,0,12:25:13,180710_1
215,180710_132509,0,0,12:25:19,180710_1
216,180710_132514,0,0,12:25:25,180710_1
217,180710_132523,1,1,12:25:34,180710_1
218,180710_132531,0,0,12:25:41,180710_1
219,180710_132537,0,0,12:25:47,180710_1
220,180710_132543,1,1,12:25:54,180710_1
221,180710_132549,1,1,12:25:59,180710_1
222,180710_132555,0,0,12:26:06,180710_1
223,180710_132601,0,0,12:26:11,180710_1
224,180710_132606,0,0,12:26:17,180710_1
225,180710_132614,0,0,12:26:24,180710_1
226,180710_132653,1,5,12:27:04,180710_1
227,180710_132659,1,8,12:27:09,180710_1
228,180710_132704,1,9,12:27:15,180710_1
229,180710_132714,1,8,12:27:25,180710_1
230,180710_132722,1,1,12:27:33,180710_1
231,180710_132728,1,4,12:27:39,180710_1
232,180710_132737,1,0,12:27:47,180710_1
233,180710_132743,1,12,12:27:53,180710_1
234,180710_132749,1,7,12:27:59,180710_1
235,180710_132754,0,0,12:28:05,180710_1
236,180710_132800,1,1,12:28:11,180710_1
237,180710_132807,0,0,12:28:17,180710_1
238,180710_133702,1,2,12:37:13,180710_1
239,180710_133709,1,0,12:37:20,180710_1
240,180710_133718,1,4,12:37:29,180710_1
241,180710_133726,0,0,12:37:37,180710_1
242,180710_133733,0,0,12:37:44,180710_1
243,180710_133739,1,1,12:37:50,180710_1
244,180710_133746,0,0,12:37:56,180710_1
245,180710_133752,0,0,12:38:03,180710_1
246,180710_133759,0,0,12:38:10,180710_1
247,180710_133806,0,0,12:38:17,180710_1
248,180710_133812,0,0,12:38:22,180710_1
249,180710_133853,0,0,12:38:29,180710_1
250,180710_133859,1,5,12:39:03,180710_1
251,180710_133906,0,0,12:39:17,180710_1
252,180710_133913,0,0,12:39:24,180710_1
253,180710_133919,0,0,12:39:30,180710_1
254,180710_133924,0,0,12:39:35,180710_1
255,180710_133932,0,0,12:39:43,180710_1
256,180710_133938,1,1,12:39:49,180710_1
257,180710_133944,1,1,12:39:54,180710_1
258,180710_133952,0,0,12:40:03,180710_1
259,180710_134001,1,8,12:40:11,180710_1
260,180710_134903,0,0,12:49:13,180710_1
261,180710_134908,1,12,12:49:19,180710_1
262,180710_134914,1,2,12:49:24,180710_1
263,180710_134919,1,2,12:49:30,180710_1
264,180710_134925,1,2,12:49:36,180710_1
265,180710_134930,1,2,12:49:41,180710_1
266,180710_134936,1,4,12:49:47,180710_1
267,180710_134944,1,3,12:49:55,180710_1
268,180710_134950,0,0,12:50:00,180710_1
269,180710_134957,0,0,12:50:08,180710_1
270,180710_135004,0,0,12:50:15,180710_1
271,180710_135010,0,0,12:50:21,180710_1
272,180710_135051,0,0,12:51:02,180710_1
273,180710_135058,1,7,12:51:08,180710_1
274,180710_135105,1,20,12:51:16,180710_1
275,180710_135113,1,8,12:51:23,180710_1
276,180710_135120,1,6,12:51:30,180710_1
277,180710_135127,1,1,12:51:37,180710_1
278,180710_135133,0,0,12:51:44,180710_1
279,180710_135139,0,0,12:51:50,180710_1
280,180710_135145,0,0,12:51:55,180710_1
281,180710_135152,1,3,12:52:03,180710_1
282,180710_135200,0,0,12:52:11,180710_1
283,180710_135206,0,0,12:52:16,180710_1
284,180710_140103,0,0,13:01:13,180710_1
285,180710_140109,0,0,13:01:20,180710_1
286,180710_140115,0,0,13:01:26,180710_1
287,180710_140124,0,0,13:01:35,180710_1
288,180710_140130,0,0,13:01:40,180710_1
289,180710_140135,0,0,13:01:46,180710_1
290,180710_140142,1,4,13:01:53,180710_1
291,180710_140148,1,1,13:01:59,180710_1
292,180710_140154,1,3,13:02:05,180710_1
293,180710_140201,0,0,13:02:12,180710_1
294,180710_140209,0,0,13:02:20,180710_1
295,180710_140216,0,0,13:02:26,180710_1
296,180710_140255,0,0,13:03:06,180710_1
297,180710_140302,1,3,13:03:12,180710_1
298,180710_140307,1,1,13:03:18,180710_1
299,180710_140313,0,0,13:03:24,180710_1
300,180710_140321,0,0,13:03:32,180710_1
301,180710_140328,0,0,13:03:39,180710_1
302,180710_140334,0,0,13:03:44,180710_1
303,180710_140339,0,0,13:03:50,180710_1
304,180710_140346,0,0,13:03:57,180710_1
305,180710_140353,0,0,13:04:04,180710_1
306,180710_140359,0,0,13:04:09,180710_1
307,180710_140404,0,0,13:04:15,180710_1
308,180710_141303,0,0,13:13:13,180710_1
309,180710_141308,1,2,13:13:18,180710_1
310,180710_141313,0,0,13:13:24,180710_1
311,180710_141319,0,0,13:13:30,180710_1
312,180710_141328,1,4,13:13:39,180710_1
313,180710_141336,0,0,13:13:46,180710_1
314,180710_141342,0,0,13:13:52,180710_1
315,180710_141350,0,0,13:14:01,180710_1
316,180710_141356,0,0,13:14:07,180710_1
317,180710_141401,0,0,13:14:12,180710_1
318,180710_141408,0,0,13:14:18,180710_1
319,180710_141413,0,0,13:14:24,180710_1
320,180710_141455,0,0,13:15:06,180710_1
321,180710_141500,0,0,13:15:11,180710_1
322,180710_141506,1,2,13:15:17,180710_1
323,180710_141516,1,0,13:15:27,180710_1
324,180710_141522,1,9,13:15:33,180710_1
325,180710_141530,1,3,13:15:40,180710_1
326,180710_141538,0,0,13:15:48,180710_1
327,180710_141543,0,0,13:15:54,180710_1
328,180710_141549,0,0,13:16:00,180710_1
329,180710_141555,0,0,13:16:05,180710_1
330,180710_141603,0,0,13:16:13,180710_1
331,180710_141608,1,1,13:16:19,180710_1
332,180710_142503,0,0,13:25:13,180710_1
333,180710_142509,1,3,13:25:20,180710_1
334,180710_142515,0,0,13:25:25,180710_1
335,180710_142522,1,2,13:25:32,180710_1
336,180710_142527,0,0,13:25:38,180710_1
337,180710_142533,0,0,13:25:44,180710_1
338,180710_142540,0,0,13:25:51,180710_1
339,180710_142549,0,0,13:25:59,180710_1
340,180710_142556,0,0,13:26:07,180710_1
341,180710_142607,0,0,13:26:18,180710_1
342,180710_142614,0,0,13:26:25,180710_1
343,180710_142654,1,2,13:26:30,180710_1
344,180710_142657,0,0,13:27:04,180710_1
345,180710_142703,0,0,13:27:14,180710_1
346,180710_142710,0,0,13:27:21,180710_1
347,180710_142716,0,0,13:27:27,180710_1
348,180710_142722,1,1,13:27:33,180710_1
349,180710_142728,0,0,13:27:38,180710_1
350,180710_142734,0,0,13:27:44,180710_1
351,180710_142741,1,4,13:27:52,180710_1
352,180710_142748,0,0,13:27:58,180710_1
353,180710_142754,0,0,13:28:05,180710_1
354,180710_142801,0,0,13:28:12,180710_1
355,180710_142808,1,2,13:28:18,180710_1
356,180710_143703,0,0,13:37:13,180710_1
357,180710_143708,0,0,13:37:18,180710_1
358,180710_143714,0,0,13:37:24,180710_1
359,180710_143720,0,0,13:37:30,180710_1
360,180710_143725,0,0,13:37:36,180710_1
361,180710_143735,1,2,13:37:46,180710_1
362,180710_143741,0,0,13:37:52,180710_1
363,180710_143750,0,0,13:38:01,180710_1
364,180710_143755,0,0,13:38:06,180710_1
365,180710_143801,0,0,13:38:12,180710_1
366,180710_143807,1,1,13:38:17,180710_1
367,180710_143814,1,2,13:38:25,180710_1
368,180710_143858,0,0,13:39:09,180710_1
369,180710_143903,0,0,13:39:14,180710_1
370,180710_143909,0,0,13:39:20,180710_1
371,180710_143915,0,0,13:39:26,180710_1
372,180710_143921,0,0,13:39:31,180710_1
373,180710_143928,1,1,13:39:38,180710_1
374,180710_143934,0,0,13:39:44,180710_1
375,180710_143939,0,0,13:39:50,180710_1
376,180710_143948,0,0,13:39:58,180710_1
377,180710_143956,1,1,13:40:07,180710_1
378,180710_144002,0,0,13:40:13,180710_1
379,180710_144009,0,0,13:40:20,180710_1
380,180710_144903,1,3,13:49:13,180710_1
381,180710_144908,1,9,13:49:18,180710_1
382,180710_144914,1,4,13:49:24,180710_1
383,180710_144923,1,1,13:49:34,180710_1
384,180710_144930,0,0,13:49:40,180710_1
385,180710_144937,0,0,13:49:48,180710_1
386,180710_144945,0,0,13:49:56,180710_1
387,180710_144951,0,0,13:50:02,180710_1
388,180710_144957,0,0,13:50:07,180710_1
389,180710_145002,1,9,13:50:13,180710_1
390,180710_145011,1,1,13:50:21,180710_1
391,180710_145017,0,0,13:50:27,180710_1
392,180710_145058,0,0,13:51:09,180710_1
393,180710_145105,0,0,13:51:15,180710_1
394,180710_145110,0,0,13:51:21,180710_1
395,180710_145117,0,0,13:51:27,180710_1
396,180710_145125,1,5,13:51:35,180710_1
397,180710_145130,1,1,13:51:41,180710_1
398,180710_145138,1,1,13:51:49,180710_1
399,180710_145144,0,0,13:51:54,180710_1
400,180710_145150,0,0,13:52:00,180710_1
401,180710_145158,0,0,13:52:08,180710_1
402,180710_145204,0,0,13:52:14,180710_1
403,180710_145212,1,5,13:52:23,180710_1
404,180710_150103,1,4,14:01:13,180710_1
405,180710_150108,1,1,14:01:19,180710_1
406,180710_150114,0,0,14:01:24,180710_1
407,180710_150120,0,0,14:01:31,180710_1
408,180710_150127,1,1,14:01:38,180710_1
409,180710_150137,1,1,14:01:47,180710_1
410,180710_150145,1,2,14:01:55,180710_1
411,180710_150150,0,0,14:02:01,180710_1
412,180710_150156,0,0,14:02:07,180710_1
413,180710_150202,0,0,14:02:13,180710_1
414,180710_150207,0,0,14:02:18,180710_1
415,180710_150216,0,0,14:02:27,180710_1
416,180710_150258,0,0,14:03:09,180710_1
417,180710_150305,0,0,14:03:15,180710_1
418,180710_150310,1,4,14:03:21,180710_1
419,180710_150316,0,0,14:03:27,180710_1
420,180710_150322,1,5,14:03:33,180710_1
421,180710_150330,1,1,14:03:41,180710_1
422,180710_150339,1,1,14:03:50,180710_1
423,180710_150345,1,1,14:03:55,180710_1
424,180710_150353,1,3,14:04:03,180710_1
425,180710_150359,1,1,14:04:10,180710_1
426,180710_150406,1,2,14:04:16,180710_1
427,180710_150411,1,1,14:04:22,180710_1
428,180710_151302,1,6,14:13:13,180710_1
429,180710_151453,0,0,14:13:18,180710_1
430,180710_151457,0,0,14:15:04,180710_1
431,180710_151502,1,7,14:15:13,180710_1
432,180710_151508,0,0,14:15:18,180710_1
433,180710_151519,0,0,14:15:30,180710_1
434,180710_151525,1,0,14:15:36,180710_1
435,180710_151530,0,0,14:15:41,180710_1
436,180710_151538,1,1,14:15:49,180710_1
437,180710_151544,1,1,14:15:55,180710_1
438,180710_151550,1,9,14:16:00,180710_1
439,180710_151555,1,10,14:16:06,180710_1
440,180710_151606,1,7,14:16:16,180710_1
441,180710_152502,0,0,14:25:12,180710_1
442,180710_152507,0,0,14:25:17,180710_1
443,180710_152512,0,0,14:25:23,180710_1
444,180710_152519,0,0,14:25:29,180710_1
445,180710_152527,0,0,14:25:38,180710_1
446,180710_152533,0,0,14:25:43,180710_1
447,180710_152542,0,0,14:25:52,180710_1
448,180710_152548,0,0,14:25:58,180710_1
449,180710_152553,0,0,14:26:04,180710_1
450,180710_152601,0,0,14:26:12,180710_1
451,180710_152607,0,0,14:26:18,180710_1
452,180710_152613,0,0,14:26:23,180710_1
453,180710_152656,1,1,14:27:06,180710_1
454,180710_152702,0,0,14:27:13,180710_1
455,180710_152708,0,0,14:27:19,180710_1
456,180710_152714,0,0,14:27:24,180710_1
457,180710_152720,0,0,14:27:30,180710_1
458,180710_152725,0,0,14:27:36,180710_1
459,180710_152731,0,0,14:27:42,180710_1
460,180710_152738,0,0,14:27:49,180710_1
461,180710_152744,0,0,14:27:54,180710_1
462,180710_152749,0,0,14:28:00,180710_1
463,180710_152758,0,0,14:28:09,180710_1
464,180710_152806,0,0,14:28:17,180710_1
465,180710_153703,0,0,14:37:13,180710_1
466,180710_153708,0,0,14:37:19,180710_1
467,180710_153714,0,0,14:37:25,180710_1
468,180710_153720,0,0,14:37:31,180710_1
469,180710_153726,0,0,14:37:36,180710_1
470,180710_153853,1,1,14:37:45,180710_1
471,180710_153858,0,0,14:39:04,180710_1
472,180710_153906,1,1,14:39:16,180710_1
473,180710_153911,1,2,14:39:22,180710_1
474,180710_153919,0,0,14:39:30,180710_1
475,180710_153927,0,0,14:39:37,180710_1
476,180710_153935,0,0,14:39:46,180710_1
477,180710_153942,0,0,14:39:52,180710_1
478,180710_153948,0,0,14:39:59,180710_1
479,180710_153954,1,1,14:40:04,180710_1
480,180710_153959,0,0,14:40:10,180710_1
481,180710_154005,0,0,14:40:16,180710_1
482,180710_154903,0,0,14:49:13,180710_1
483,180710_154908,0,0,14:49:18,180710_1
484,180710_154913,0,0,14:49:24,180710_1
485,180710_154922,0,0,14:49:33,180710_1
486,180710_154929,0,0,14:49:40,180710_1
487,180710_154935,1,0,14:49:45,180710_1
488,180710_154943,0,0,14:49:54,180710_1
489,180710_154949,0,0,14:50:00,180710_1
490,180710_154955,0,0,14:50:06,180710_1
491,180710_155001,0,0,14:50:11,180710_1
492,180710_155006,0,0,14:50:17,180710_1
493,180710_155053,0,0,14:50:24,180710_1
494,180710_155058,0,0,14:51:04,180710_1
495,180710_155105,0,0,14:51:16,180710_1
496,180710_155111,0,0,14:51:22,180710_1
497,180710_155119,1,1,14:51:30,180710_1
498,180710_155125,0,0,14:51:36,180710_1
499,180710_155131,0,0,14:51:42,180710_1
500,180710_155137,0,0,14:51:48,180710_1
501,180710_155143,0,0,14:51:53,180710_1
502,180710_155150,0,0,14:52:00,180710_1
503,180710_155159,0,0,14:52:09,180710_1
504,180710_155205,0,0,14:52:16,180710_1
505,180710_160102,0,0,15:01:12,180710_1
506,180710_160108,0,0,15:01:19,180710_1
507,180710_160114,0,0,15:01:24,180710_1
508,180710_160119,0,0,15:01:30,180710_1
509,180710_160125,0,0,15:01:35,180710_1
510,180710_160131,0,0,15:01:42,180710_1
511,180710_160138,0,0,15:01:49,180710_1
512,180710_160144,0,0,15:01:55,180710_1
513,180710_160151,1,2,15:02:02,180710_1
514,180710_160201,0,0,15:02:12,180710_1
515,180710_160210,0,0,15:02:20,180710_1
516,180710_160215,1,1,15:02:26,180710_1
517,180710_160258,1,1,15:03:09,180710_1
518,180710_160303,0,0,15:03:14,180710_1
519,180710_160309,0,0,15:03:20,180710_1
520,180710_160317,0,0,15:03:28,180710_1
521,180710_160323,0,0,15:03:34,180710_1
522,180710_160329,0,0,15:03:40,180710_1
523,180710_160335,0,0,15:03:45,180710_1
524,180710_160342,0,0,15:03:52,180710_1
525,180710_160347,0,0,15:03:58,180710_1
526,180710_160356,1,3,15:04:07,180710_1
527,180710_160402,1,2,15:04:12,180710_1
528,180710_160408,0,0,15:04:18,180710_1
529,180710_161303,0,0,15:13:13,180710_1
530,180710_161308,0,0,15:13:18,180710_1
531,180710_161313,0,0,15:13:24,180710_1
532,180710_161319,0,0,15:13:30,180710_1
533,180710_161325,0,0,15:13:35,180710_1
534,180710_161330,0,0,15:13:41,180710_1
535,180710_161337,0,0,15:13:48,180710_1
536,180710_161347,0,0,15:13:58,180710_1
537,180710_161353,0,0,15:14:03,180710_1
538,180710_161359,0,0,15:14:09,180710_1
539,180710_161404,0,0,15:14:15,180710_1
540,180710_161410,0,0,15:14:21,180710_1
541,180710_161452,0,0,15:15:02,180710_1
542,180710_161458,0,0,15:15:09,180710_1
543,180710_161504,0,0,15:15:15,180710_1
544,180710_161509,0,0,15:15:20,180710_1
545,180710_161515,0,0,15:15:26,180710_1
546,180710_161521,0,0,15:15:31,180710_1
547,180710_161529,0,0,15:15:39,180710_1
548,180710_161535,0,0,15:15:46,180710_1
549,180710_161543,0,0,15:15:53,180710_1
550,180710_161551,0,0,15:16:01,180710_1
551,180710_161557,0,0,15:16:07,180710_1
552,180710_161603,0,0,15:16:13,180710_1
553,180710_162503,0,0,15:25:13,180710_1
554,180710_162509,0,0,15:25:20,180710_1
555,180710_162515,0,0,15:25:25,180710_1
556,180710_162520,0,0,15:25:31,180710_1
557,180710_162526,0,0,15:25:37,180710_1
558,180710_162531,0,0,15:25:42,180710_1
559,180710_162537,0,0,15:25:48,180710_1
560,180710_162543,0,0,15:25:53,180710_1
561,180710_162548,0,0,15:25:59,180710_1
562,180710_162554,0,0,15:26:04,180710_1
563,180710_162601,0,0,15:26:11,180710_1
564,180710_162607,0,0,15:26:18,180710_1
565,180710_162646,0,0,15:26:57,180710_1
566,180710_162653,0,0,15:27:04,180710_1
567,180710_162700,0,0,15:27:11,180710_1
568,180710_162706,0,0,15:27:17,180710_1
569,180710_162712,0,0,15:27:22,180710_1
570,180710_162723,0,0,15:27:34,180710_1
571,180710_162733,0,0,15:27:44,180710_1
572,180710_162739,0,0,15:27:49,180710_1
573,180710_162744,0,0,15:27:55,180710_1
574,180710_162750,0,0,15:28:00,180710_1
575,180710_162758,0,0,15:28:09,180710_1
576,180710_163703,0,0,15:37:13,180710_1
577,180710_163708,0,0,15:37:19,180710_1
578,180710_163714,0,0,15:37:24,180710_1
579,180710_163719,1,1,15:37:30,180710_1
580,180710_163725,1,1,15:37:36,180710_1
581,180710_163731,1,0,15:37:42,180710_1
582,180710_163740,0,0,15:37:51,180710_1
583,180710_163749,0,0,15:38:00,180710_1
584,180710_163757,0,0,15:38:08,180710_1
585,180710_163803,0,0,15:38:13,180710_1
586,180710_163811,0,0,15:38:21,180710_1
587,180710_163816,0,0,15:38:27,180710_1
588,180710_163856,0,0,15:39:06,180710_1
589,180710_163901,0,0,15:39:11,180710_1
590,180710_163907,0,0,15:39:17,180710_1
591,180710_163912,0,0,15:39:23,180710_1
592,180710_163918,0,0,15:39:29,180710_1
593,180710_163926,0,0,15:39:37,180710_1
594,180710_163932,0,0,15:39:42,180710_1
595,180710_163938,0,0,15:39:49,180710_1
596,180710_163945,0,0,15:39:56,180710_1
597,180710_163953,0,0,15:40:03,180710_1
598,180710_163959,0,0,15:40:09,180710_1
599,180710_164004,0,0,15:40:15,180710_1
600,180710_165053,0,0,15:49:13,180710_1
601,180710_165058,0,0,15:51:09,180710_1
602,180710_165104,0,0,15:51:14,180710_1
603,180710_165109,0,0,15:51:20,180710_1
604,180710_165115,0,0,15:51:25,180710_1
605,180710_170102,0,0,16:01:13,180710_1
